province,cityname,record_date,high,low,weather,wd,ws
上海,上海,2022-12-9,13,11,小雨,东北风,1
上海,上海,2022-12-10,12,7,多云,北风,3
上海,上海,2022-12-11,10,6,多云,西风,2
上海,上海,2022-12-12,9,3,多云,西风,2
上海,上海,2022-12-13,11,3,晴,北风,4
上海,上海,2022-12-14,7,1,晴,东风,1
上海,上海,2022-12-15,12,5,晴,西北风,1
上海,上海,2022-12-16,11,0,阴,北风,3
上海,上海,2022-12-17,4,-3,多云,西北风,1
上海,上海,2022-12-18,4,0,晴,西南风,1
上海,上海,2022-12-19,9,2,晴,北风,1
上海,上海,2022-12-20,12,5,多云,东南风,2
上海,上海,2022-12-21,11,2,阴,西风,1
上海,上海,2022-12-22,6,-1,晴,西北风,2
上海,上海,2022-12-23,4,-1,晴,西北风,3
上海,上海,2022-12-24,5,0,晴,东风,2
上海,上海,2022-12-25,6,1,多云,西北风,2
上海,上海,2022-12-26,7,2,多云,北风,1
上海,上海,2022-12-27,9,4,多云,北风,1
上海,上海,2022-12-28,7,5,多云,北风,1
上海,上海,2022-12-29,6,4,多云,北风,2
上海,上海,2022-12-30,7,3,多云,东风,2
上海,上海,2022-12-31,10,0,阴,西风,1
上海,上海,2022-11-1,21,15,多云,东北风,2
上海,上海,2022-11-2,21,13,晴,西风,2
上海,上海,2022-11-3,19,13,晴,西风,2
上海,上海,2022-11-4,18,11,多云,东北风,2
上海,上海,2022-11-5,18,12,多云,西南风,1
上海,上海,2022-11-6,19,13,多云,东南风,1
上海,上海,2022-11-7,22,14,晴,东风,1
上海,上海,2022-11-8,22,16,晴,东南风,3
上海,上海,2022-11-9,22,16,多云,东南风,1
上海,上海,2022-11-10,26,19,多云,东北风,1
上海,上海,2022-11-11,21,20,小雨,东南风,1
上海,上海,2022-11-12,26,14,多云,北风,4
上海,上海,2022-11-13,15,11,多云,西南风,1
上海,上海,2022-11-14,13,9,多云,西北风,1
上海,上海,2022-11-15,16,10,多云,东北风,1
上海,上海,2022-11-16,18,14,多云,东风,3
上海,上海,2022-11-17,17,14,小雨,东风,3
上海,上海,2022-11-18,20,16,多云,东北风,1
